location,price
"<span class=""p24_location"">Vleesbaai</span>","<span class=""p24_price"" content=""9995000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 9 995 000
        </span>"
"<span class=""p24_location"">Witsand</span>","<span class=""p24_price"" content=""670000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 670 000
        </span>"
"<span class=""p24_location"">De Wijnlanden Residential Estate</span>","<span class=""p24_price"" content=""5395000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 5 395 000
        </span>"
"<span class=""p24_location"">Paarl Rural</span>","<span class=""p24_price"" content=""875000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 875 000
        </span>"
"<span class=""p24_location"">Witsand</span>","<span class=""p24_price"" content=""1120000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 1 120 000
        </span>"
"<span class=""p24_location"">Franschhoek</span>","<span class=""p24_price"" content=""17750000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 17 750 000
        </span>"
"<span class=""p24_location"">Paarl East</span>","<span class=""p24_price"" content=""2300000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 300 000
        </span>"
"<span class=""p24_location"">Belhar</span>","<span class=""p24_price"" content=""535000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 535 000
        </span>"
"<span class=""p24_location"">Oubaai</span>","<span class=""p24_price"" content=""2290000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 290 000
        </span>"
"<span class=""p24_location"">Atlantic Beach Golf Estate</span>","<span class=""p24_price"" content=""1599000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 1 599 000
        </span>"
"<span class=""p24_location"">Beacon Valley</span>","<span class=""p24_price"" content=""2800000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 800 000
        </span>"
"<span class=""p24_location"">Northshore</span>","<span class=""p24_price"" content=""195000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 195 000
        </span>"
"<span class=""p24_location"">Paarl North</span>","<span class=""p24_price"" content=""4995000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 4 995 000
        </span>"
"<span class=""p24_location"">Outeniqua Strand</span>","<span class=""p24_price"" content=""5395000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 5 395 000
        </span>"
"<span class=""p24_location"">Oubaai</span>","<span class=""p24_price"" content=""875000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 875 000
        </span>"
"<span class=""p24_location"">Dana Bay</span>","<span class=""p24_price"" content=""1120000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 1 120 000
        </span>"
"<span class=""p24_location"">Lotus River</span>","<span class=""p24_price"" content=""17750000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 17 750 000
        </span>"
"<span class=""p24_location"">Tergniet</span>","<span class=""p24_price"" content=""2800000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 800 000
        </span>"
"<span class=""p24_location"">Richwood</span>","<span class=""p24_price"" content=""2300000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 300 000
        </span>"
"<span class=""p24_location"">Flagship</span>","<span class=""p24_price"" content=""535000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 535 000
        </span>"
"<span class=""p24_location"">Mossel Bay Ext 26</span>","<span class=""p24_price"" content=""2290000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 290 000
        </span>"
"<span class=""p24_location"">Sea Point</span>","<span class=""p24_price"" content=""1599000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 1 599 000
        </span>"
"<span class=""p24_location"">Vleesbaai</span>","<span class=""p24_price"" content=""2800000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 800 000
        </span>"
"<span class=""p24_location"">Witsand</span>","<span class=""p24_price"" content=""195000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 195 000
        </span>"
"<span class=""p24_location"">De Wijnlanden Residential Estate</span>","<span class=""p24_price"" content=""4995000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 4 995 000
        </span>"
"<span class=""p24_location"">Paarl Rural</span>","<span class=""p24_price"" content=""699900"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 699 900
        </span>"
"<span class=""p24_location"">Franschhoek</span>","<span class=""p24_price"" content=""2750000"" itemprop=""price"">
<meta content=""ZAR"" itemprop=""priceCurrency""/>
            R 2 750 000
        </span>"
